CD_CIRURGIA,DS_CIRURGIA,Codigo Tabela AMB,SN_ATIVO
2430,BLOQUEIO NEUROQUIMICO,31602100,S
2947,BLOQUEIOS PROLONGADOS DE SISTEMA NERVOSO PERIFERICO/ CENTRAL COM BOMBA DE INFUSAO,31602126,S
2383,BLOQUEIO NEUROLITICO PERIDURAL OU SUBAR,31602126,S
3129,BLOQUEIO CERVICAL,31602134,S
2250,ESTENOSE ESOFAGICO PED -TRAT CIR VIA TORAX,31001084,S
2252,FISTULA TRAQ ESOFAGICA PED - VIA TORAX,31001114,N
2240,FISTULA TRAQUEO ESOFAGICA - TRAT CIRURGICO VIA TORACICA,31001114,S
2723,GASTRECTOMIA PARCIAL EM ONCOLOGIA,31002072,S
9,GASTRECTOMIA PARCIAL COM VAGOTOMIA,31002072,S
8,GASTRECTOMIA PARCIAL SEM VAGOTOMIA,31002080,S
2391,GASTRECTOMIA,31002129,S
145,GASTRECTOMIA TOTAL VIA TORACO-ABDOMINAL,31002129,S
10,GASTRECTOMIA TOTAL VIA ABDOMINAL,31002129,S
2253,GASTROSTOMIA C/ SUTURA DE VARIZES PED,31002153,S
70,APENDICECTOMIA,31003079,S
1837,CISTO MESENTERIO PED - TRAT CIRURGICO,31003150,S
3084,VIDEOLAPAROSCOPIA PARA COLECTOMIA,31003621,S
55,COLECTOMIA TOTAL COM ILEO-RETO ANASTOMOS,31003184,S
3128,REVISAO EM COLOSTOMIA,31003290,S
52,ENTERO-ANASTOMOSE - (QUALQUER SEGMENTO),31003290,S
53,ENTEROPEXIA - QUALQUER SEGMENTO,31003311,S
2406,RECONSTRUCAO DE TRANSITO INTESTINAL,31003370,S
2157,ENTEROSTOMIA PED - FECHAMENTO,31003370,S
216,FECHAMENTO DE ENTEROSTOMIA QUALQUER SEGMENTO,31003370,S
2199,ILEO MECONIAL PED - TRAT CIRURGICO,31003397,S
1426,MEMBRANA DUODENAL PED - TRAT CIRURGICO,31003478,S
1838,PILOROMIOTOMIA PEDIATRICA,31003508,S
976,PROCTOCOLECTOMIA TOTAL,31003524,S
96,ESFINCTEROPLASTIA ANAL - QUALQUER TECNICA,31004075,S
97,FISTULA-RETO-VAGINAL E FISTULA ANAL EM FERRADURA,31004113,S
218,"HEMORROIDECTOMIA ABERTA OU FECHADA, COM",31004202,S
238,LACERACAO ANO-RETAL - TRAT CIRURGICO VIA PERINEAL,31004210,S
2187,ATRESIA DE VIAS BILIARES PED -TRAT CIRURGICO,31005047,S
982,COLECISTECTOMIA FISTULA BILIO-DIGESTIVA,31005110,S
2191,DESCONEXAO AZIGOS PED PORTAL C/ ESPLENECTOMIA,31005217,S
2192,DESCONEXAO AZIGOS PED PORT S/ESPLENECTOM,31005225,S
991,HEPATORRAFIA COMPLEXA C/LESAO ESTR VASC,31005284,S
912,LOBECTOMIA HEPATICA DIRETA,31005292,S
990,PROCEDIMENTO SOBRE A PAPILA,31005314,S
1365,TUMOR SACRO-COCCIGENO - RESSECCAO,31009042,S
1526,EXERESE CISTODERMOIDE,31009042,S
240,CISTO-SACRO COCCIGEO - TRAT CIRURGICO,31009042,S
521,EXERESE E PLASTICA DE CISTO SACROCOCCIGEO,31009042,N
185,HERNIORRAFIA CRURAL - BILATERAL,31009085,S
1782,HERNIA INGUINAL ENCARCERADA EM RN,31009123,S
3141,LAPAROTOMIA EXPLORADORA,31009174,S
2749,LAPAROTOMIA PARA AVALIACAO DE TUMOR DE OVARIO EM ONCOLOGIA,31009174,S
336,LAPARATOMIA DRENAGEM DE ABSCESSOS,31009174,S
335,LAPARATOMIA EXPLORADA COM OU SEM BIOPSIA,31009174,S
2166,TERATOMA SACRO-COCCIGEO-EXERESE ,31009301,S
804,ABSCESSO RENAL - DRENAGEM PERCUTANEA,31101020,S
729,ABSCESSO PERIRRENAL - DRENAGEM PERCUTANEA,31101020,S
1741,AUTOTRANSPLANTE RENAL,31101062,S
1310,CISTOS RENAIS - MARSUPIALIZACAO,31101135,S
1742,NEFROLITOTOMIA PERCUTANEA,31101224,S
845,NEFROLITOTOMIA TRANS-URETEROSCOPICAS,31101224,S
844,NEFROLITOTOMIA TRANS-NEFROSCOPICA,31101224,S
945,TRANSPLANTE CUTANEOS-COURO CABELUDO,30701040,S
946,TRANSPLANTE CUTANEOS-DELTOPEITORAL,30701058,S
947,TRANSPLANTE CUTANEO FACE VOLAR E LATERO,30701066,S
178,TRANSPLANTE CUTANEOS-DIGITAL DO HALLUX,30701074,S
177,TRANSPLANTE CUTANEOS-DORSAL DO PE,30701082,S
410,TRANSPLANTE CUTANEOS-ESCAPULAR,30701090,S
411,TRANSPLANTE CUTANEOS-FEMURAL,30701104,S
412,TRANSPLANTE CUTANEOS-FOSSA POPLITEA,30701112,S
414,TRANSPLANTE CUTANEOS-INGUINO-CURAL,30701120,S
413,TRANSPLANTE CUTANEOS-INTERCOSTAL,30701139,S
415,TRANSPLANTE CUTANEOS-INTERD 1A DEDOS PE,30701147,S
451,OUTROS TRANSPLANTES CUTANEOS,30701155,S
203,TRANSPLANTE CUTANEOS - AXILAR,30701155,S
449,TRANSPLANTE CUTANEOS-PARAESCAPULAR,30701163,S
450,TRANSP CUTANEOS-RETROAURICULAR,30701171,S
1907,TRANSPLANTE CUTANEOS-TEMPORAL,30701180,S
625,TRANSPLANTE CUTANEO C/ MICRO ANASTOMOSES,30701198,S
2008,TRANSPLANTE MUSC/CUT - GRANDE DORAL,30702011,S
452,TRANSPLANTE MUSC/CUT-GRANDE GLUTEO,30702020,S
115,OUTROS TRANSPLANTES MUSC/CUTANEOS,30702038,S
453,TRANSPLANTE MUSC/CUT-RETO ABDOMINAL,30702046,S
454,TRANSPLANTE MUSC/CUT-RETO INTERNO(GRACIL,30702054,S
1995,TRANSPLANTE MUSC/CUT-SERRATO MAIOR,30702062,S
113,TRANSPLANTE MUSC/CUT-TENSOR FASCIA LATA,30702070,S
624,"TRANSPLANTE CUTANEO S/MICRO ANAST, NEURO",30701201,S
369,TRANSPLANTE MIO CUTANEO C/MICRO ANASTOM,30701210,S
114,TRANSPLANTE  MUSC/CUT-TRAPEZIO (TRAPEZIUS),30702089,S
1436,TRANSPLANTE MUSCUL-BICEPS FEMURAL,30703018,S
2009,TRANSPLANTE MUSCUL-EXTEN COMUM DOS DEDOS,30703026,S
1437,TRANSPLANTE MUSCUL-EXTEN PROPR DEDO GOR,30703034,S
1438,TRANSPLANTE MUSCUL-FLEXOR CURTO PLANTAR,30703042,S
1439,TRANSPLANTE MUSCUL-GRANDE DORSAL,30703050,S
1440,TRANSPLANTE MUSCUL-GRANDE PEITORAL,30703069,S
1908,TRANSPLANTE MUSCULO PEDIO,30703077,S
381,"OS MUSCULOS LATISSIMUS DORSI,GRACILIS,ET",30703085,S
1997,OUTROS TRANSPLANTES MUSCULARES,30703093,S
1441,TRANSPLANTE MUSCUL-PRIMEIRO RADIAL EXTER,30703107,S
532,TRANSPLANTE MUSCUL-RETO ANTERIOR,30703115,S
1442,TRANSPLANTE MUSCUL-RETO INTERNO,30703123,S
2010,TRANSPLANTE MUSCUL-SARTORIO,30703131,S
535,TRANSPLANTE MUSCUL-SEMIMEMBRANOSO,30703140,S
3166,ABSCESSO DE UNHA,30101930,S
1395,APENDICE PRE-AURICULAR ,30101050,S
628,AUTONOMIZACAO DE RETALHO,30101069,S
2363,BIOPSIA INCISIONAL,30101077,S
738,"BIOPSIA PELE,MUCOSA,TUMOR SUPER TECIDO CELULAR SUBCUT",30101077,S
101,BIOPSIA LINGUA,30101077,S
3103,BIOPSIA DE UNHA,30101085,S
2371,EXERESE CALO,30101093,N
1529,EXERESE CALO,30101093,S
3164,CANTOPLASTIA UNGUEAL,30101948,S
773,LINFEDEMA - ELEFANTIASE MEMBRO INFERIOR,30101140,S
1041,ALOPECIA - CORRECAO C/ AUXILIO DE EXPANS TEC,30101158,S
799,ALOPECIA PARCIAL ROTACAO DE RET CUT (1+),30101158,S
798,ALOPECIA PARCIAL - ROTACAO CUTANEA,30101158,S
761,ALOPECIA PARCIAL - EXCISAO E SUTURA,30101158,S
3106,TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLASICA,31602169,S
3082,BLOQUEIO PERIDURAL,31602169,S
1137,NEFROSTOMIA - TRAT CIRURGICO,31101305,S
2106,NEFROSTOMIA POR PUNCAO,31101313,S
1014,SINFISIOTOMIA (RIM EM FERRADURA),31101429,S
1822,COLOCACAO URETEROSCOPICA DE DUPLO J,31102077,S
2153,REIMPL URETER UNILATERAL - VIA COMBINADA,31102174,S
1282,URETEROLISE,31102298,S
1830,URETEROLITOTOMIA LAPAROSCOPICA,31102492,S
2247,URETEROTOMIA INTERNA URETEROSCOPICA,31102450,S
2637,CISTECTOMIA TOTAL COM DERIVACAO SIMPLES EM ONCOLOGIA,31103081,S
2315,CISTECTOMIA TOTAL COM DERIVACAO URINARIA,31103081,S
2314,CISTECTOMIA TOTAL,31103081,S
2277,COLO DIVERTICULO - RESSECCAO P/ENDOSCOPIA,31103200,S
2202,CISTOENTEROPLASTIA,31103251,S
1818,NEOBEXIGA URETRAL CONTINENTE,31103502,S
1455,EPISTAXE LIGADURA ARTERIA ETMOIDAL,30501148,S
1638,EPISTAXE TAMPONAMENTO ANTERO-POSTERIOR C/ANESTESIA GERAL,30501172,S
593,TUMOR INTRANASAL EXERESE P/ RINOTOMIA LATERAL,30501431,S
220,EXERESE TUMOR POR RINOTOMIA LATERAL,30501431,S
508,EXERESE POLIPO ANTRO-COANAL DE KILIAM,30502160,S
3147,POLIPECTOMIA,30502160,S
1681,BIOPSIA SEIO PARANASAL - QUALQUER VIA,30502195,S
509,SINUSOTOMIA ESFENOIDAL,30502250,S
2241,BIOPSIA A CEU ABERTO COSTELA OU ESTERNO,30601223,S
2267,CORRECAO MUSCULAR (TU/CICAT/FERIM C/ EXPANSORES),30101174,S
2477,CORRE��O DE RETRA��O CICATRICIAL V�RIOS EST�GIOS,30101182,S
2268,CORRECAO CUTANEA  (TU/CICATRIZ C/ RETALHO),30101182,S
1171,"CORRECAO TUMORES,CICATRIZ OU FERIMENTOS",30101182,S
772,"CORRECAO LIPODISTROFIA BRAQUIAL, CRURAL OU TROCANTERIANA",30101190,S
2288,CRIOCIRURGIA NEOPLASIAS CUTANEAS,30101204,S
2170,QUEIMADURA - ATEND INTEGRAL 1 UT,30101220,S
2361,CURATIVO GRANDE,30101239,S
2360,CURATIVO MEDIO,30101239,S
2359,CURATIVO PEQUENO,30101239,S
3136,CURETAGEM E ELETROCOAGULACAO DE CA DE PELE (POR LESAO),30101247,S
2489,CURETAGEM SIMPLES DE LES�ES DE PELE (POR GRUPO DE 5 LES�ES),30101255,S
2122,DERMOBRASAO DE LESOES CUTANEA,30101263,S
2480,ABDOMINOPLASTIA,30101271,S
517,DERMOLIPECTOMIA ABDOMINAL NAO ESTETICA,30101271,S
3184,DRENAGEM DE HEMATOMA,30101280,S
1947,DESBRIDAMENTO DE TECIDO DESVITALIZADO,30101280,S
152,ULCERA OU NECROSE: DEBRIDAMENTO CIRURGICO,30101280,S
739,ELETROCOAGULACAO DE LESAO CUTANEA,30101298,S
1386,ENXERTO COMPOSTO,30101310,S
2120,ENXERPATIA DE PELE 3 UT,30101336,S
1010,"HOMOENXERTIA,ATO CIRUR,PRE E POS OPERAT",30101336,S
718,ENXERTO LIVRE DE PELE TOTAL OU PARCIAL,30101336,S
1394,ENXERPATIA DE PELE 5 UT,30101344,S
2147,ENXERPATIA DE PELE 4 UT,30101344,S
694,ENXERTO LIVRE PELE LAMINADA,30101344,S
105,ENXERTO DE PELE - CADA EXTREMIDADE,30101344,S
850,ESCALPO PARCIAL,30101360,S
1342,ESCALPO TOTAL,30101379,S
1269,ESCALPELAMENTO  TOTAL - TRAT CIRURGICO,30101379,S
903,EXTIRPACAO DO MAMILO,30101425,S
568,EXERESE HIGROMA CISTICO,30101425,S
759,EXCISAO TUMOR E ROTACAO DE RETALHO,30101425,S
2162,HIGROMA CISTICO NO RN/LACTENTE ,30101433,S
3202,EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA,30101468,S
1527,EXERESE CISTO SEBACEO,30101468,S
2409,TUMOR DE PELE +ENXERTO,30101468,S
2373,EXERESE LIPOMA,30101468,N
2372,EXERESE CISTO SEBACEO,30101468,S
1517,EXCISAO SUTURA LESAO/TUMOR PELE E MUCOSA,30101468,S
1528,EXERESE LIPOMAS,30101468,S
210,EXERESE TUMOR E ENXERTO LIVRE,30101468,S
209,EXERESE TUMOR DE PELE,30101468,S
1266,EXERESE LESAO C/ ENXERTIA,30101441,S
865,EXCISAO PARCIAL LABIOS C/ ENXERTIA LIVRE,30101441,S
3113,AMPLIACAO DE MARGEM CIRURGICA,30101476,S
1948,"ANGIOMA,NEVUS,TUMOR EXCIS ROTACAO DE RETALHO CUTANEO",30101476,N
801,"ANGIOMA,NEVUS,TUMOR - EXCISAO ROT RETALHO CUTANEO",30101476,S
2374,EXERESE UNHA,30101484,S
2368,EXCISAO E SUTURA DE UNHA ENCRAVADA,30101484,S
2367,EXCISAO E SUTURA DE HEMANGIOMA,30101921,S
849,EXCISAO SUTURA DE HEMANG/LINFANG/NEVUS,30101921,S
107,"EXERESE - NEVUS - TRAT CIRUR (NEVUS,HEMANG,LIFANG",30101921,N
2365,EXCISAO E SUTURA DE LESOES COM ROTACAO DE RETALHO,30101450,S
1387,EXERESE - EXCISAO E SUTURA DE LESAO CIRCULAR C/ROTACAO DE RETALHO,30101450,S
2370,EXCISAO E SUTURA SIMPLES DE PEQUENAS LESOES,30101492,N
1388,EXCISAO E SUTURA SIMPLES DE PEQUENA LESOES,30101492,S
1937,EXTENSO FERIM CICATRIZ/TUMOR EXC RETALHO,30101522,N
2012,EXCISAO E ROTACAO DE RETALHO - EXTENSOS FERIMENTOS,30101522,S
719,EXTENSO FERIM/CICATRIZ/TUMOR - EXCISAO E RETALHO,30101522,S
1525,EXTENSO FERIM/CICATRIZ/ TUMOR - RETALHO CUTANEO MUSCULO CRUZADO,30101530,S
2057,"EXTENSO FERIMEN,CICATRIZ,TUMOR,EXC RET",30101549,N
720,EXTENSO FERIM/CICATRIZ/TUMOR - EXERESE E RETALHO CUTANEO A  DISTANCIA,30101549,S
2490,"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES -EXERESE",30101557,S
604,FERIMENTO TUMOR EXCISAO E RETALHO CUTANEO,30101557,S
760,EXCISAO TUMOR E ROTACAO DE RETALHO,30101557,N
1524,"EXTENSO FERIME,CICATRIZ, TUMOR EXCIS,ROT",30101565,N
721,EXTENSO FERIM/CICATRIZ/TUMOR - EXERESE E ROTACAO DE RETALHO,30101565,S
1519,EXTENSO FERIME/CICATRIZ/ TUMOR - EXERESE E ROTACAO RETALHO MUSC,30101573,S
1518,EXTENSO FERIMENTOS/CICATRIZES/TUMOR - EXERESE E ENXERTO CUTANEO,30101581,S
2265,ENXERPATIA DE PELE 1 UT,30101581,S
2273,ENXERPATIA DE PELE 8 OU+UT,30101581,S
2272,ENXERPATIA DE PELE 7 UT,30101581,S
2271,ENXERPATIA DE PELE 6 UT,30101581,S
2266,ENXERPATIA DE PELE 2 UT,30101581,S
603,FERIMENTO TUMORE C/ ENXERTIA CUTANEA,30101581,S
753,PERDA SUBSTANCIA EM LESOES EXTENSAS - TRAT CIRURGICO,30101581,S
155,FERIMENTOS INFECTADOS/MORDIDA ANIMAIS,30101603,S
2375,ABSCESSO - INCISAO E DRENAGEM,30101620,S
1011,"LIPOASPIRACAO / DRENA CELUL,FOLIC/FLEIMA",30101638,S
1972,FLEGMEOS E TENOSSINOVITES PURILENTAS,30101611,S
752,FECHAMENTO DE PLEUROSTOMIA,30601053,S
1275,FRATURA COSTELA OU ESTERNO - TRAT CIRURGICO,30601240,S
1762,FRATURA DO ESTERNO - TRAT CIRURGICO,30601240,S
1760,FRATURA DE COSTELA - TRAT CIRURGICO,30601240,S
2063,TRATAMENTO CIRUR OSTOMIELITE COSTAL,30601258,S
1276,OSTEOMIELITE COSTELA OU ESTERNO - TRA CIRURGICO,30601258,S
820,RESSUTURA DA DEISCENCIA DE ESTERNO,30601290,S
1764,RETIRADA CORPO ESTRANHO DA PAREDE TORACICA,30601142,S
762,TORACOPLASTIA (QUALQUER TECNICA),30601169,S
1345,BIOPSIA PULMAO POR ASPIRACAO,30601177,S
1780,TORACOTOMIA COM BIOPSIA ,30601177,S
1086,BIOPSIA PULMAO A CEU ABERTO,30601177,S
2633,TORACOTOMIA EXPLORADORA,30601185,S
763,TORACOSTOMIA EXPLORADA,30601185,S
1411,BIOPSIA INCISIONAL DE MAMA,30602017,S
943,BIOPSIA MAMA,30602017,S
1504,INVERSAO DE PAPILA - CORRECAO CIRURGICA,30602041,N
1413,INVERSAO DE PAPILA - CORRECAO CIRURGICA POR MAMA,30602041,S
1147,INVERSAO DE MAMILO (POR MAMILO),30602041,S
2668,LINFADENECTOMIA SUPRACLAVICULAR UNILATERAL EM ONCOLOGIA,30602130,S
2505,LINFADENECTOMIA AXILAR UNILATERAL EM ONCOLOGIA,30602130,S
1877,LINFADENECTOMIA AXILAR,30602130,N
627,LINFADENECTOMIA AXILAR,30602130,S
2377,PUNCAO OU BIOPSIA DE MAMA,30602181,S
1550,BIOPSIA PERCUTANEA GUIADA,30602181,S
1505,RECONST MAMARIA C/ RETAL MIOCUTANEO,30602238,N
779,RECONST MAMARIA UNILAT C/ RETALHO MUSC/M,30602238,N
502,RECONSTRUCAO MAMARIA C/ RETALHO MUSCULAR OU MIOCUTANEO,30602238,S
146,CIRURGIA DE ACESSO POSTERIOR,40201341,S
1239,ESFINCTEROTOMIA,31104070,S
2305,URETROSTOMIA,31104215,S
2300,ESOFAGECTOMIA DISTAL SEM TARACOTOMIA,31001050,N
885,ESOFAGECTOMIA SEM TORACOTOMIA,31001050,S
2289,ESOFAGOPLASTIA (COLOPLASTIA),31001068,S
360,RESSECCAO ESOFAGO CERVICAL C/FARINGO-LA,31001092,S
2339,REFLUXO GASTRO ESOFAGICO PED - TRAT CIRURGICO,31001262,S
1901,"CARDIOPLASTIA,ESOFAGOPLASTIA OU TRATAMEN",31001262,S
83,REFLUXO ESOFAGEANO,31001262,S
2400,EXCISAO E SUTURA PLASTICA EM Z,30101670,S
2369,EXCISAO E SUTURA COM PLASTICA EM Z,30101670,S
1516,EXCISAO E SUTURA COM PLASTICA EM Z,30101670,S
1043,RECONST C/ RETALHO GALEA APONEUROTICA,30101689,S
211,"EXERESE INCLUINDO PELE,CARTILAGEM COM RETALHO",30101697,S
2376,RETIRADA CORPO ESTRANHO SUBCUTANEO,30101735,S
1385,CORPO ESTRANHO SUBCUTANEO,30101735,S
1982,RETRACAO AXILAR - CURA CIRURGICA C/ AUXILIO EXPANSORES,30101743,S
1168,RETRACAO CICATRICIAL DE AXILA TR CIRUR,30101743,N
688,RETRACAO AXILAR - CURA CIRURGICA C/ RETALHO MUSCULAR,30101743,S
516,RETRACAO CICATRICIAL AXILA - TRAT CIRURGICO,30101743,S
1186,RETRACAO CICATRICIAL PUNHO -  TRAT CIRURGICO,30101751,S
1039,CURA CIRUR RETRACAO CICATRICIAL REG POPL,30101751,S
771,"CORRECAO RETRACAO COTOV,PUNHO,REG POPLITIDEA",30101751,S
1185,RETRACAO CICATRICIAL COTOVELO - TRAT CIRURGICO,30101760,S
1038,RETRACAO CICATRICIAL COTOVELO - TRAT CIRURGICO,30101760,S
1912,RETRACAO APONEVROSE PALMAR (DUPUYTREN),30101778,S
1073,"SUTURA EXTEN FERIMENTO,INTER MAIS UMA RE",30101786,N
370,SUTURA EXTENSOS FERIMENTOS C/ OU S/ DESBRIDAMENTO,30101786,S
2382,SUTURA PEQUENO FERIMENTO C/ OU S/ DESBRIDAMENTO,30101794,S
2357,SUTURA PEQUENOS FERIMENTOS C/ OU SEM DESBRIDAMENTO,30101794,N
1074,TRANSECCAO DE RETALHOS,30101808,S
1466,TRANSF INTERMEDIARIA DE RETALHOS,30101816,S
1175,TRATAMENTO CIRUR BANDA CONSTRIT CONGENIT,30101824,S
1870,HEMANGIOMAS EXTENSOS - TRATAMENTO CIRURG,30101832,N
695,HEMANGIOMAS EXTENSOS - TRAT CIRURGICO,30101832,S
1178,"ESCARA, ULCERA,CORRECAO C/ RETALHO MUSCULO/MIOCUTANEO",30101883,S
686,RECONST ESCARA C/ RETALHO MIOCUTANEO/MUS,30101883,S
1197,"ESCARAS, ULCERA, CORRECAO C/ RETALHO CUTANEO",30101883,S
2794,TRATAMENTO CIRURGICO DE FISTULA CUTANEA DE ORIGEM DENTARIA,30101891,S
2269,CORRECAO DE FISTULA CUTANEA,30101891,S
3205,BIOPSIA DE NADEGA,30101913,S
2407,TUMOR DE PARTES MOLES DO DORSO,30101913,S
2146,TU PARTES MOLES-EXERESE ,30101913,N
1781,TU PARTES MOLES - EXERESE ,30101913,S
3165,UNHA (ENXERTO),30101956,S
258,EXCISAO C/PLASTICA DE VERMELHAO DO LABIO,30201020,S
1890,EXCISAO COM RECONSTRUCAO DO LABIO A CUSTA DE RETALHOS,30201039,S
866,"EXCISAO PARCIAL LABIO LESAO, C/ ROT RETA",30201039,S
261,EXCISAO C/RECONST LABIO A CUSTA DE RETALHO,30201039,N
260,EXCISAO C/RECONST LABIO A CUSTA DE RETALHO,30201039,S
2510,RECONSTRUCAO C/ RETALHO MIOCUTANEO (QUALQUER PARTE) EM ONCOLOGIA,30201047,S
2366,EXCISAO E SUTURA DE LABIO,30201055,N
1986,RESSECCAO EM CUNHA,30201055,S
867,EXCISAO  E ESUTURA EM CUNHA DE LABIOS,30201055,N
316,EXCISAO E SUTURA EM CUNHA DE LABIO,30201055,S
770,TRATAMENTO CIRUR FISSURA LABIAL UNI/BIL,30201071,S
868,RECONST SULCO-GENGIVO LABIAL,30201080,S
2686,RESSECCAO TOTAL DE LABIO E RECONSTRUCAO COM RETALHO MIOCUTANEO EM ONCOLOGIA,30201098,S
2078,EXCISAO E RECONSTRUCAO TOTAL DO LABIO,30201098,N
259,RECONST TOTAL DO LABIO,30201098,S
869,TRATAMENTO CIRUR MACROSTOMIA,30201101,S
870,TRATAMENTO CIRUR MICROSTOMIA,30201110,S
2021,OPER COMP BOCA UNILAT C/ESV CUSTA DE RET,30202027,N
164,OPER COMP BOCA UNILAT C/ESVAZ E RECONS C,30202027,S
323,BIOPSIA BOCA,30202027,S
2754,EXCISAO E SUTURA COM PLASTICA EM Z NA PELE EM ONCOLOGIA,30202035,S
2408,EXCISAO DE PELE+ENXERTO EM ONCO,30202035,S
130,CONSTRUCAO DE VAGINA,30202035,S
417,EXCISAO TUMORES DA BOCA COM SUTURA,30202043,S
100,OPER COMP BOCA BILAT C/ESVAZIAMENTO E RECONSTRUCAO,30202043,N
2452,PELVIGLOSSOMANDIBULECTOMIA EM ONCOLOGIA,30202051,S
1894,EXCISAO TUMORES MALIGNOS DA BOCA,30202051,N
2060,EXCISAO TUMOR E ENXERTO PELE/MUCOSA,30202051,S
800,"ANGIOMA,NEVUS,TUMOR - EXCISAO E ENXERTO DE  PELE",30202051,S
418,EXCISAO LESAO MALIGNA DA BOCA C/RECONSTRUCAO,30202051,S
710,FISTULA ORO-MAXILAR: TRATAMENTO CIRURGIC,30202060,S
2679,GLOSSECTOMIA TOTAL  EM ONCOLOGIA,30202078,S
2678,GLOSSECTOMIA PARCIAL EM ONCOLOGIA,30202078,S
1965,GLOSSECTOMIA/PELVECT/MANDIBULE - OSTEOMIA,30202078,S
257,GLOSSECTOMIA/PELVECT/MANDIBULE - C/RETALHO,30202078,S
315,GLOSSECTOMIA/PELVECT/MANDIBULE - ESVAZIAMENTO UNILATERAL,30202078,S
314,GLOSSECTOMIA E PELVECTOMIA,30202078,S
313,GLOSSECTOMIA PARCIAL,30202078,S
1467,PALATOPLASTIA COM ENXERTO OSSEO,30202094,S
1468,PALATOPLASTIA COM RETALHO FARINGEO,30202108,S
758,PALATOPLASTIA COM RETALHO MIO-MUCOSO,30202116,S
757,PALATOPLASTIA COM RETALHO DE LINGUA,30202116,S
1469,PALATOPLASTIA PARCIAL,30202124,S
1515,PALATOPLASTIA COMPLETA,30202132,S
756,PLASTICA DO CANAL DE STENON,30202140,S
703,FRENOTOMIA LINGUAL OU LABIAL,30203015,S
1360,TUMOR DE LINGUA-CIRURGICO ,30203023,S
2023,BIOPSIA GLANDULAS SALIVARES,30204011,S
1966,RESSECCAO TUMOR DE GLANDULA SALIVAR COM,30204011,S
222,RESSECCAO TUMOR DE GLANDULA SUB-MANDIBULAR,30204020,S
3081,EXCISAO DE RANULA OU FENOMENO DE RETENCAO SALIVAR,30204038,S
797,ALONGAMENTO COLUMELA,30501040,S
3079,EPISTAXE - CAUTERIZACAO (QUALQUER TECNICA),30501113,S
678,EPISTAXE CAUTERIZACAO ARTERIA ETMOIDAL C/MICROSCOPIO,30501130,S
1129,IMPERFURACAO COANAL - CORRECAO CIRURGICA INTRANASAL,30501245,S
212,EXERESE TUMOR COM RECONSTRUCAO TOTAL,30501334,S
2080,TRATAMENTO CIRUR DE RINOFIMA,30501407,S
592,TUMOR BENIGNO INTRANASAL-EXERESE,30501440,S
231,RESSECCAO MESO E INTRAESTRUTURA DO MAXILAR,30502144,S
1367,SINUSECTOMIA MAXILAR-CALDWEL-LUC,30502233,S
3090,SINUSOTOMIA ESFENOIDAL POR VIDEOENDOSCOPIA,30502349,S
1105,RECONST REGIAO EXTERNAL C/ RETALHO BIL M,30601126,S
506,COLHEITA DE MATERIAL DE DESCARGA PAPILAR,30602025,S
1148,PLASTICA MAMARIA FEMININA NAO ESTETICA,30602122,S
1993,EXTIRPACAO DE MAMA SUPRANUMERARIA,30602084,S
596,MAMA EXTRA NUMERARIA - EXTIRPACAO,30602084,S
1979,MASTECTOMIA ULTRA RADICAL,30602149,S
467,MASTECTOMIA RADICAL/MASTECTOMIA RADI MOD,30602149,S
1520,RECONST MAMARIA COM PROTESE,30602262,S
1592,RECONST MAMARIA C/ EMPREGO EXPANSOR,30602262,N
1486,RECONST MAMARIA C/ EMPREGO EXPANSOR,30602262,N
690,RECONST MAMARIA C/AUX EXPANS PERMANEN,30602262,N
689,RECONST MAMARIA C/ EMPREGO EXPANSOR,30602262,S
505,RECONSTRUCAO MAMARIA COM PROTESE,30602262,S
365,GASTROENTEROANASTOMOSE,31002137,S
3195,GASTROPLASTIA POR VIDEOLAPAROSCOPIA,31002390,S
5,GASTRORRAFIA,31002145,S
1839,ANORRETOMIOMECTOMIA PEDIATRICA,31003060,S
2183,ATRESIA DUODENO PED - TRAT CIRURGICO,31003109,S
284,DISTORCAO DE VOLVO POR LAPARATOMIA,31003249,S
979,FIXACAO DO RETO POR VIA ABDOMINAL,31003389,S
147,PROCTOCOLECTOMIA TOTAL COM RESERV ILEAL,31003532,S
977,RESSECCAO INTESTINO DELGADO,31003540,S
980,TUMOR ANO-RETAL - EXCISAO LOCAL,31003567,S
99,FISTULECTOMIA ANAL EM UM TEMPO,31004148,S
1749,FISTULECTOMIA PERINEAL,31004164,S
989,COLECISTECTOMIA COM COLANGIOGRAFIA,31005101,S
1854,BIOPSIA PANCREAS POR PUNCAO DIRIGIDA,31006027,N
916,PANCREATO-ENTEROSTOMIA,31006086,S
3135,ESPLENECTOMIA POR VIDEOLAPAROSCOPIA,31007066,S
932,HERNIORRAFIA COM RESSECCAO INTESTINAL,31009077,S
3093,HERNIORRAFIA INCISIONAL POR VIDEOLAPAROSCOPIA,31009344,S
2112,HERNIA INGUINAL ENCARCERADA - TRAT CIRURGICO,31009158,S
933,HERNIORRAFIA SEM RESSECCAO INTESTINAL,31009158,S
1199,RECONST PAREDE ABDOMINAL C/ RETALHO MUSC,31009255,S
